id,weighted_score
0,64.9125
1,14.8625
2,61.43
3,39.5
4,9.25
5,45.865
6,47.94
7,58.0
8,0.0
9,56.0
10,73.25
11,48.75
12,39.75
13,74.3
14,50.7
15,0.0
16,43.25
17,36.9
18,18.5
19,91.16
20,85.25
21,59.25
22,68.65
23,85.96
24,3.93
25,74.8
26,64.2
27,0.0
28,0.0
29,70.85
30,0.0
31,45.5
32,57.75
33,69.75
34,96.64
35,95.25
36,0.0
37,8.5
38,8.91
39,10.4375
40,0.0
41,70.89
42,0.4
43,29.25
44,56.66666666666667
45,0.0
46,65.0
47,0.0
48,57.8
49,2.94
50,68.33333333333334
51,63.85
52,0.0
53,85.5
54,72.93
55,15.6875
56,0.0
57,78.9
58,42.42
59,64.26
60,75.11
61,66.0
62,78.73
63,77.75
64,14.75
65,53.33333333333334
66,0.0
67,93.12
68,0.0
69,67.66666666666669
70,0.0
71,54.25
72,0.0
73,82.75
74,51.8
75,85.59
76,63.92
77,87.94
78,2.635
79,0.0
80,12.43
81,57.75
82,73.33333333333334
83,0.0
84,73.1275
85,75.4
86,65.32
87,80.075
88,83.5
89,14.22
90,72.98
91,0.0
92,60.5
93,30.0
94,0.0
95,0.0
96,16.0
97,65.3225
98,88.66
99,12.125
100,0.0
101,0.0
102,74.05
103,0.0
104,81.47
105,79.6
106,31.63
107,56.28
108,0.0
109,0.0
110,6.1125
111,92.88
112,66.5
113,70.66666666666667
114,43.25
115,65.59
116,0.0
117,19.645
118,52.0
119,69.6
120,0.0
121,93.0
122,80.5
123,0.0
124,7.5
125,16.25
126,91.25
127,86.24
128,0.0
129,49.49
130,2.75
131,56.43
132,96.0
133,0.0
134,0.0
135,9.7425
136,16.75
137,0.0
138,90.0
139,25.4
140,0.0
141,47.5
142,77.0
143,7.75
144,55.5
145,57.7
146,0.57
147,20.445
148,71.6625
149,86.6875
150,81.1
151,0.0
152,0.0
153,78.0
154,60.7
155,0.0
156,68.0275
157,85.6375
158,15.87
159,78.88
160,0.0
161,0.0
162,24.66666666666667
163,0.0
164,8.75
165,70.66666666666669
166,6.88
167,9.0
168,82.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,32.15
175,68.13
176,81.15
177,4.325
178,0.0
179,73.36
180,12.05
181,0.56
182,84.0
183,77.33333333333334
184,15.58
185,90.0
186,17.5
187,70.75
188,65.1
189,59.48
190,15.2
191,61.66666666666667
192,84.45
193,58.25
194,0.0
195,21.36
196,53.46
197,58.33333333333334
198,88.475
199,0.0
200,0.0
201,54.33333333333334
202,17.25
203,72.9
204,47.5
205,0.0
206,27.15
207,73.5
208,80.675
209,10.75
210,77.93
211,4.0
212,75.0
213,74.5
214,8.25
215,73.98
216,80.9
217,8.75
218,50.75
219,88.555
220,0.0
221,18.9625
222,12.64
223,76.48
224,89.72
225,0.0
226,71.5
227,81.25
228,73.92
229,39.0
230,65.06
231,83.7
232,94.9875
233,30.5
234,0.0
235,79.5
236,0.0
237,0.0
238,87.32
239,86.7
240,74.25
241,0.0
242,72.375
243,79.9
244,77.08
245,67.1125
246,11.75
247,90.6
248,3.125
249,0.0
250,55.32
251,89.78
252,0.67
253,57.775
254,85.25
255,30.05
256,58.15
257,2.45
258,73.5
259,66.72
260,24.375
261,0.0
262,0.0
263,45.75
264,47.75
265,73.77
266,14.25
267,74.89
268,83.25
269,88.08
270,0.0
271,48.415
272,0.0
273,16.9125
274,31.41
275,87.75
276,0.0
277,79.72
278,0.0
279,0.0
280,11.75
281,0.0
282,89.5
283,18.03
284,66.9
285,0.0
286,75.0
287,63.6
288,41.52
289,23.25
290,0.0
291,58.3125
292,33.4
293,46.5
294,69.015
295,92.25
296,65.5
297,83.5
298,75.79
299,52.4
300,48.975
301,82.685
302,15.0
303,77.75
304,74.1
305,20.38
306,0.0
307,75.15
308,58.75
309,46.35
310,0.0
311,0.0
312,49.0
313,0.0
314,87.67
315,3.375
316,72.09
317,67.25
318,14.08
319,83.12
320,41.7625
321,43.92
322,0.0
323,89.29
324,75.625
325,2.15
326,51.33333333333334
327,26.75
328,55.1875
329,63.33333333333334
330,81.89
331,63.66666666666667
332,0.0
333,82.04
334,0.0
335,65.00000000000001
336,84.25
337,0.0
338,88.0
339,0.0
340,14.25
341,43.8
342,53.4875
343,89.75
344,0.0
345,0.0
346,88.44
347,88.775
348,0.78
349,0.44
350,8.3
351,13.49
352,71.32
353,9.6
354,84.6
355,76.75
356,0.0
357,73.85
358,78.69
359,64.15
360,0.0
361,43.0925
362,0.0
363,60.73
364,61.0
365,94.76
366,97.25
367,0.0
368,4.74
369,80.6625
370,9.025
371,11.98
372,70.08
373,85.5
374,61.66666666666667
375,45.65
376,57.66666666666667
377,0.0
378,18.75
379,3.65
380,0.0
381,64.56
382,16.545
383,17.775
384,80.25
385,58.875
386,83.16
387,60.51
388,18.88
389,59.35
390,0.0
391,56.65
392,72.66666666666667
393,7.84
394,63.0
395,0.0
396,0.0
397,0.0
398,70.0
399,85.0
400,83.24
401,15.0075
402,20.21
403,7.5
404,8.1125
405,56.92
406,51.5
407,73.33333333333334
408,9.8475
409,0.0
410,0.0
411,76.0
412,0.0
413,81.5
414,75.3375
415,70.0
416,0.0
417,96.17
418,47.385
419,13.425
420,68.15
421,0.0
422,0.0
423,78.66666666666667
424,0.0
425,0.0
426,0.0
427,57.06
428,0.0
429,0.0
430,72.35
431,2.55
432,0.0
433,50.5
434,89.625
435,0.0
436,9.5
437,55.5
438,0.0
439,0.0
440,0.0
441,64.8
442,48.92
443,20.0
444,88.7625
445,70.55
446,85.38
447,15.225
448,0.0
449,59.53
450,75.2
451,0.56
452,74.75
453,10.56
454,3.52
455,0.0
456,83.33333333333334
457,26.945
458,67.52
459,18.5
460,68.0
461,76.66666666666667
462,1.0
463,29.6
464,56.48
465,83.56
466,43.0
467,36.66666666666667
468,0.3
469,63.86
470,74.5
471,0.0
472,61.8
473,0.0
474,12.64
475,69.0
476,44.66666666666667
477,0.0
478,82.16
479,68.22
480,3.86
481,4.93
482,69.575
483,67.25
484,85.19
485,13.333333333333336
486,98.3
487,16.75
488,74.6875
489,82.33333333333334
490,88.25
491,0.0
492,15.6975
493,48.0
494,0.0
495,0.53
496,91.2
497,0.22
498,0.0
499,76.86
500,39.25
501,0.0
502,0.0
503,5.41
504,1.1
505,62.39
506,0.0
507,46.7
508,38.0
509,2.42
510,0.0
511,4.5
512,0.0
513,74.9
514,15.2
515,78.6875
516,7.36
517,6.5
518,95.92
519,87.0
520,0.0
521,7.26
522,0.0
523,0.0
524,0.0
525,0.0
526,60.875
527,0.0
528,88.04
529,67.0625
530,15.91
531,70.35
532,0.8
533,61.7
534,83.88
535,0.0
536,47.75
537,60.025
538,90.0
539,83.76
540,3.45
541,12.0
542,59.95
543,39.84
544,0.0
545,68.83
546,18.25
547,54.735
548,83.9
549,63.25
550,81.96
551,0.0
552,0.37
553,1.2
554,0.0
555,17.93
556,17.0
557,20.000000000000004
558,48.8
559,45.8275
560,71.33333333333334
561,7.25
562,0.0
563,83.0
564,40.065
565,0.0
566,84.8375
567,49.75
568,68.45
569,32.65
570,0.33
571,72.6
572,41.21
573,75.0
574,82.75
575,21.66666666666667
576,71.45
577,17.78
578,47.25
579,67.5
580,52.33
581,69.17
582,58.64
583,83.15
584,15.6
585,0.0
586,93.4
587,18.25
588,55.5
589,61.41
590,0.8
591,0.0
592,81.66666666666667
593,0.0
594,0.0
595,0.57
596,41.4
597,55.42
598,0.0
599,9.875
600,59.19
601,48.5
602,19.75
603,0.33
604,0.0
605,9.92
606,0.0
607,96.58
608,87.0
609,62.99
610,0.0
611,18.0
612,95.6
613,0.0
614,76.16
615,0.0
616,0.0
617,44.5
618,58.85
619,72.25
620,4.0
621,0.0
622,0.0
623,91.92
624,63.045
625,71.5
626,81.72
627,87.75
628,0.0
629,63.24
630,39.0
631,2.95
632,73.25
633,74.03
634,78.375
635,62.84
636,83.6
637,84.24
638,12.48
639,20.0
640,0.0
641,72.75
642,0.0
643,18.75
644,44.19
645,93.12
646,40.3875
647,0.0
648,87.5
649,64.0
650,10.75
651,55.5
652,91.0
653,55.5
654,63.33333333333334
655,72.75
656,58.33333333333334
657,0.0
658,59.97
659,46.75
660,88.5
661,64.28
662,77.95
663,58.815
664,55.75
665,0.0
666,51.46
667,54.78
668,96.14
669,0.0
670,66.0
671,0.0
672,55.33333333333334
673,67.39
674,51.5625
675,83.2
676,6.0
677,36.0
678,0.82
679,0.0
680,48.4
681,2.07
682,91.71
683,0.0
684,0.0
685,0.0
686,0.0
687,55.0
688,0.0
689,91.75
690,17.52
691,0.0
692,0.0
693,1.705
694,0.0
695,97.63
696,67.55
697,61.25
698,0.0
699,65.93
700,66.98
701,80.0
702,9.5
703,23.0
704,0.0
705,0.0
706,0.0
707,62.25
708,11.0
709,3.7
710,84.095
711,74.3875
712,3.875
713,25.325
714,3.75
715,83.43
716,0.0
717,0.0
718,87.685
719,20.66
720,0.0
721,2.1
722,8.75
723,88.625
724,91.0
725,89.2375
726,40.69
727,74.685
728,33.685
729,81.25
730,79.35
731,0.0
732,71.5
733,56.66666666666667
734,81.69
735,0.0
736,0.0
737,75.22
738,55.35
739,70.98
740,0.0
741,89.7
742,79.0
743,53.77
744,76.5
745,64.45
746,23.333333333333336
747,65.3375
748,79.89
749,63.5
750,18.025
751,94.5
752,67.45
753,84.735
754,82.5
755,36.75
756,0.0
757,0.0
758,0.0
759,14.025
760,0.0
761,78.75
762,2.785
763,10.25
764,14.5
765,0.355
766,61.66666666666667
767,0.0
768,49.5
769,55.25
770,47.75
771,93.5
772,0.0
773,54.87
774,8.51
775,71.5
776,91.5
777,86.41
778,0.0
779,73.41
780,22.25
781,68.3
