ID,id_student,code_module,code_presentation
0,464685,DDD,2014B
1,606593,DDD,2013J
2,1674799,CCC,2014J
3,195246,FFF,2014J
4,582080,FFF,2013J
5,647148,CCC,2014J
6,177333,DDD,2013B
7,592880,GGG,2013J
8,554152,FFF,2013B
9,615356,FFF,2014J
10,131272,FFF,2013B
11,500772,FFF,2013J
12,408105,FFF,2014B
13,1832218,BBB,2014J
14,628642,DDD,2014B
15,2587950,BBB,2013J
16,355293,FFF,2014J
17,638051,DDD,2014J
18,650148,FFF,2014J
19,631073,EEE,2014B
20,691699,FFF,2014J
21,275180,BBB,2014J
22,646852,BBB,2014J
23,556109,EEE,2013J
24,400266,CCC,2014J
25,541476,BBB,2014J
26,585769,EEE,2014J
27,601491,BBB,2013J
28,395010,FFF,2013B
29,266922,DDD,2014B
30,2497090,FFF,2014J
31,534989,FFF,2013B
32,654414,DDD,2014J
33,465421,FFF,2014B
34,631455,CCC,2014B
35,601213,FFF,2013J
36,586506,FFF,2014B
37,368507,FFF,2013B
38,605840,CCC,2014J
39,548500,DDD,2014B
40,611581,FFF,2014B
41,629504,BBB,2014B
42,555953,CCC,2014B
43,592315,DDD,2013J
44,573666,GGG,2013J
45,650353,FFF,2014J
46,592616,FFF,2013J
47,500625,BBB,2013J
48,2503273,DDD,2014B
49,612381,CCC,2014B
50,604721,GGG,2013J
51,695434,BBB,2014J
52,2610837,FFF,2013J
53,397219,FFF,2014J
54,609045,CCC,2014B
55,607622,DDD,2013J
56,608606,FFF,2013J
57,296424,AAA,2014J
58,2266377,BBB,2014B
59,89092,BBB,2014B
60,564144,BBB,2013J
61,576923,BBB,2014J
62,561167,BBB,2013B
63,464785,FFF,2013B
64,442753,FFF,2014B
65,125407,GGG,2014J
66,647799,FFF,2014J
67,611961,EEE,2014J
68,651371,CCC,2014J
69,684341,GGG,2014J
70,242636,CCC,2014J
71,524296,FFF,2014B
72,626625,CCC,2014B
73,582510,FFF,2013J
74,551205,BBB,2013J
75,544267,CCC,2014J
76,482012,EEE,2013J
77,634216,CCC,2014B
78,2258228,CCC,2014B
79,548831,BBB,2013B
80,554068,BBB,2013B
81,532627,FFF,2013B
82,634583,GGG,2014B
83,315517,DDD,2013J
84,2456612,DDD,2013B
85,585432,DDD,2014J
86,1410398,EEE,2014B
87,464924,DDD,2013J
88,574070,FFF,2013J
89,576714,BBB,2013J
90,614130,BBB,2014B
91,2462281,FFF,2014J
92,404135,FFF,2013B
93,480181,FFF,2013B
94,582170,EEE,2013J
95,130837,DDD,2013J
96,653356,FFF,2014J
97,2156514,DDD,2013B
